Latitude, Longitude
37.7960428976, -122.4068367013
37.7796192010, -122.4105459002
37.7835839027, -122.4142881014
37.7810058975, -122.4125916992
37.7809554999, -122.4139433985
37.7924417024, -122.4229112023
37.7932052993, -122.4227383004
37.7830269978, -122.4117438977
37.7764449061, -122.4151399154
37.7861968995, -122.4230832995
37.7700284988, -122.4462822003
37.7701490027, -122.4463127998
37.7807316975, -122.4736709015
37.7927719996, -122.4210532026
37.7698186998, -122.4479272996
37.7806979016, -122.4744179023
37.7804075972, -122.4748143998
37.7696115997, -122.4518452023
37.7805932005, -122.4767325984
37.7866160002, -122.4233461001
37.7870024004, -122.4234242977
37.7870870017, -122.4232635998
37.7692471993, -122.4517711007
37.7604760014, -122.4607313999
37.7604538006, -122.4612384995
37.7802140982, -122.4790879020
37.7802112986, -122.4791504980
37.7794191976, -122.4218909011
37.7786923022, -122.4156497025
37.7895968006, -122.4171919000
37.7874228981, -122.4184281022
37.7639882983, -122.4563111977
37.7636379012, -122.4575513003
37.7787391012, -122.4170383995
37.7784390011, -122.4178448000
37.7868884009, -122.4400919021
37.7258255993, -122.4342266989
37.7228610989, -122.4355337002
37.7783031025, -122.4189123024
37.7829907992, -122.4408851990
37.7829797015, -122.4409717002
37.7641501975, -122.4655468983
37.7158145000, -122.4400187002
37.7875408986, -122.4223051013
37.7873063048, -122.4231720194
37.7843639002, -122.4162650012
37.7528409985, -122.4101282020
37.7741546974, -122.4373994001
37.7969770999, -122.3987700974
37.7968566016, -122.3997160007
37.7838284978, -122.4091318005
37.7841815994, -122.4092027002
37.7856173132, -122.4094962624
37.7809256994, -122.4169625991
37.7836310984, -122.3988905006
37.7873034001, -122.3996543881
37.7719573983, -122.4193103981
37.7712861978, -122.4194419996
37.7856548977, -122.3936181997
37.7892520976, -122.3915657007
37.7921138973, -122.4043967013
37.7748162978, -122.4166124982
37.7450430010, -122.4201222022
37.7449561980, -122.4204056000
37.7437566974, -122.4209526979
37.7435447023, -122.4210896024
37.7934452006, -122.4045062025
37.7769902003, -122.4138711018
37.7432788004, -122.4214886983
37.7418394991, -122.4221905989
37.7796793998, -122.3977576026
37.7833829996, -122.3995915015
37.7898511064, -122.4055189155
37.7756676980, -122.4155371000
37.7403878987, -122.4233591982
37.7355822016, -122.4245149006
37.7615549982, -122.4216727984
37.7957804994, -122.4033124016
37.7757309982, -122.4205430017
37.7852892009, -122.4089958013
37.7851703008, -122.4108722021
37.7837067981, -122.4224394017
37.7820485000, -122.4118707997
37.7844584984, -122.4391197019
37.7243023001, -122.4585789998
37.7724248011, -122.4186941997
37.7712840018, -122.4182280989
37.7734449011, -122.4192072001
37.7859378987, -122.4114693009
37.7857188013, -122.4140199979
37.7856631008, -122.4144559016
37.7854994972, -122.4157495980
37.7825889987, -122.4440361017
37.7769272019, -122.4154379980
37.7765189976, -122.4118320976
37.7812631995, -122.4022743979
37.7795989454, -122.4155345354
37.7794900973, -122.4163666011
37.7405566991, -122.4662670994
37.7399262012, -122.4669722018
37.7972256009, -122.4349053984
37.7980115999, -122.4287253988
37.7906859004, -122.3986003974
37.7948283990, -122.4098272973
37.7807039981, -122.4159068984
37.7763817021, -122.4188670010
37.7980343987, -122.4351497979
37.8055226010, -122.4236244016
37.7835363996, -122.4107488987
37.7919407998, -122.3966702015
37.7873736014, -122.3991246016
37.7872204025, -122.3986749013
37.7581363999, -122.4189140012
37.7579765011, -122.4188987014
37.7577227027, -122.4190565997
37.7932328981, -122.4003665985
37.7932074004, -122.4005668980
37.7929856990, -122.4021911991
37.7921712016, -122.4000118987
37.7921631996, -122.4000747015
37.7922308025, -122.4003900007
37.7920704008, -122.4016454981
37.7920622983, -122.4017120001
37.7810349994, -122.3960346018
37.7534108002, -122.4184634012
37.7532795706, -122.4186295483
37.7530357995, -122.4184274987
37.7914032013, -122.4007134975
37.7917053019, -122.4009347015
37.7926436000, -122.4011265018
37.7927571022, -122.4011497979
37.7929291994, -122.3926582986
37.7921503977, -122.3919626006
37.7526776016, -122.4185719022
37.7928300974, -122.4010087975
37.7901262016, -122.4010833015
37.7933748987, -122.3980578982
37.7890394029, -122.3933197148
37.7854899027, -122.3935008028
37.7853673984, -122.3936557003
37.7844692998, -122.3951178004
37.7931759012, -122.3988268987
